%eval_id interface x1             x2             response_fn_1  
1        NO_ID      0.9096500846   -1.34507076    -0.1813926416  
2        NO_ID      1.317219076    -0.3477494931  -0.2121393098  
3        NO_ID      -1.52374627    -0.8634462627  -0.1279555034  
4        NO_ID      -1.960447777   1.716179777    0.1155195316   
5        NO_ID      0.2793001831   0.3417428229   0.7090014023   
6        NO_ID      1.033596979    1.891226995    0.06920773417  
7        NO_ID      0.08254027087  -1.452992545   -0.2165696133  
8        NO_ID      -0.8468040107  -1.141931946   -0.2171531397  
9        NO_ID      -1.679394638   -1.522454418   0.1043855038   
10       NO_ID      1.227285308    -1.479939952   -0.03985413656 
11       NO_ID      -1.728398576   -1.171319601   0.04156931254  
12       NO_ID      -1.121996004   -1.240465056   -0.1630051325  
13       NO_ID      1.12553777     0.3608814888   -0.1457094538  
14       NO_ID      -0.633493321   -0.2170182513  0.4094298216   
15       NO_ID      -1.862747227   1.653211654    0.1277499813   
16       NO_ID      -0.3591069886  1.4354482      -0.2146820134  
17       NO_ID      -0.3260624614  0.9799168548   -0.03164704729 
18       NO_ID      -0.540072972   -1.434810313   -0.2065058479  
19       NO_ID      1.829210939    -0.9204743272  0.0232315609   
20       NO_ID      -1.762320639   0.4429479614   -0.09518924746 
21       NO_ID      -0.6892480515  1.450611266    -0.1873019444  
22       NO_ID      -1.728085074   1.589149094    0.1203573661   
23       NO_ID      1.817351461    1.947242219    0.1040743772   
24       NO_ID      -1.929991703   -0.2990381541  -0.02396719471 
25       NO_ID      1.351966026    0.8850954641   -0.1840643061  
26       NO_ID      -1.795225344   0.8578979317   -0.005186312722 
27       NO_ID      -0.2200157456  0.4216145743   0.6673539255   
28       NO_ID      0.6253340878   -0.2041997286  0.4256054531   
29       NO_ID      -1.210224897   1.317515395    -0.1094975201  
30       NO_ID      -1.937215229   1.573725426    0.1275234701   
31       NO_ID      -1.341390323   -0.3991039675  -0.2162030758  
32       NO_ID      -1.018510442   -1.894980278   0.06773074901  
33       NO_ID      0.1799942944   0.6003857376   0.4680890968   
34       NO_ID      0.5190304527   0.6425984995   0.2002801905   
35       NO_ID      0.2944397442   0.3969771275   0.6439177437   
36       NO_ID      0.9006134598   -0.2031998411  0.08232448131  
37       NO_ID      0.3900530087   0.1629897822   0.730900287    
38       NO_ID      -1.478282888   1.552682258    0.06484269604  
39       NO_ID      -0.8307305621  1.544040037    -0.1270214418  
40       NO_ID      1.434098667    1.791692061    0.1109034738   
41       NO_ID      -1.957217442   -0.6110142041  0.02446634425  
42       NO_ID      0.1223470112   -1.736649366   -0.1329064762  
43       NO_ID      0.8751043146   -1.470665669   -0.1464904584  
44       NO_ID      -0.8090971354  -1.390912003   -0.1863052017  
45       NO_ID      -0.7579206349  -1.63619481    -0.1023112589  
46       NO_ID      -1.204904498   0.7314372379   -0.2167672746  
47       NO_ID      1.400563309    -0.9147158097  -0.1629257396  
48       NO_ID      1.052753138    -1.975326537   0.09680856456  
49       NO_ID      -1.424384309   -1.341838584   -0.0219648201  
50       NO_ID      -0.6748076817  1.687220555    -0.09517485692 
51       NO_ID      0.09868519567  0.2156572351   0.9100121336   
52       NO_ID      0.0499696536   -0.8323580539  0.1903223212   
53       NO_ID      -0.04929067474 1.970699868    -0.01453090096 
54       NO_ID      -0.8014636775  0.9843508201   -0.1877694232  
55       NO_ID      0.1617104113   1.813210773    -0.09350364531 
56       NO_ID      1.324490167    -1.935404134   0.1199950099   
57       NO_ID      -1.843748348   0.2760192407   -0.07060665643 
58       NO_ID      -1.746444123   -0.2790842978  -0.1196132399  
59       NO_ID      -1.396373216   0.5297926627   -0.2130858849  
60       NO_ID      -1.666698419   0.009066428989 -0.1653761452  
61       NO_ID      -0.5868749991  1.828296085    -0.04113506105 
62       NO_ID      0.6686114613   0.4550519884   0.222473179    
63       NO_ID      0.6994225308   -0.3840390956  0.23658459     
64       NO_ID      -0.1605067002  -0.5183698153  0.5813257542   
65       NO_ID      -0.9091765722  1.785754204    0.001934339381 
66       NO_ID      -1.759821293   0.006435949355 -0.1238866226  
67       NO_ID      1.154802851    1.178113168    -0.1720011693  
68       NO_ID      -1.364165022   -0.5395054203  -0.2158171478  
69       NO_ID      -1.137947117   1.524623265    -0.05046550048 
